"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"15-Oct-2025","EQ","2,971.00","2,979.70","2,951.00","2,960.30","2,970.00","2,969.80","2,967.01","4,494.90","2,866.60","42,82,226","12,70,53,86,117.20","1,46,773"
"14-Oct-2025","EQ","3,021.00","3,027.20","2,955.50","3,007.20","2,960.00","2,960.30","2,976.34","4,494.90","2,866.60","36,11,416","10,74,87,94,587.50","1,83,673"
"13-Oct-2025","EQ","3,027.00","3,035.50","2,998.20","3,028.30","3,006.00","3,007.20","3,011.37","4,494.90","2,866.60","28,66,865","8,63,31,80,149.10","1,69,572"
"10-Oct-2025","EQ","3,050.00","3,070.00","3,006.90","3,061.70","3,028.00","3,028.30","3,032.16","4,494.90","2,866.60","88,17,365","26,73,56,29,672.60","2,44,153"
"09-Oct-2025","EQ","3,034.00","3,066.00","3,020.00","3,027.20","3,060.20","3,061.70","3,046.36","4,494.90","2,866.60","32,11,304","9,78,27,98,225.60","1,33,703"
"08-Oct-2025","EQ","2,975.00","3,043.00","2,968.00","2,973.70","3,031.50","3,027.20","3,024.78","4,494.90","2,866.60","41,21,889","12,46,78,11,108.50","1,54,336"
"07-Oct-2025","EQ","2,995.00","3,004.50","2,955.50","2,988.40","2,975.00","2,973.70","2,971.70","4,494.90","2,866.60","30,62,943","9,10,21,39,525.60","1,41,987"
"06-Oct-2025","EQ","2,902.00","2,993.60","2,895.60","2,901.90","2,988.00","2,988.40","2,959.88","4,494.90","2,866.60","21,12,774","6,25,35,56,716.30","1,00,920"
"03-Oct-2025","EQ","2,924.00","2,924.00","2,891.10","2,914.20","2,903.00","2,901.90","2,902.27","4,494.90","2,866.60","28,99,519","8,41,51,75,156.20","1,56,466"
"01-Oct-2025","EQ","2,891.00","2,924.80","2,866.60","2,888.40","2,915.10","2,914.20","2,897.26","4,494.90","2,866.60","19,52,902","5,65,80,70,903.00","1,24,217"
"30-Sep-2025","EQ","2,911.00","2,915.30","2,885.10","2,896.10","2,891.00","2,888.40","2,895.89","4,494.90","2,885.10","22,53,458","6,52,57,55,380.40","2,01,510"
"29-Sep-2025","EQ","2,916.00","2,929.30","2,894.00","2,899.10","2,904.30","2,896.10","2,904.37","4,494.90","2,891.30","31,10,035","9,03,26,90,025.70","1,79,197"
"26-Sep-2025","EQ","2,941.00","2,954.80","2,891.30","2,957.40","2,905.40","2,899.10","2,915.19","4,494.90","2,891.30","39,34,636","11,47,02,04,570.00","3,90,339"
"25-Sep-2025","EQ","3,022.00","3,029.60","2,951.00","3,035.40","2,958.00","2,957.40","2,977.56","4,494.90","2,951.00","49,74,361","14,81,14,52,426.90","4,18,858"
"24-Sep-2025","EQ","3,050.00","3,057.00","3,033.00","3,062.40","3,036.80","3,035.40","3,044.04","4,494.90","2,991.60","16,25,714","4,94,87,46,206.60","1,01,133"
"23-Sep-2025","EQ","3,070.00","3,080.70","3,052.00","3,073.80","3,065.00","3,062.40","3,063.85","4,494.90","2,991.60","31,77,741","9,73,61,21,756.20","1,41,198"
"22-Sep-2025","EQ","3,095.00","3,106.90","3,065.00","3,169.20","3,075.50","3,073.80","3,082.86","4,494.90","2,991.60","36,34,901","11,20,58,89,441.10","3,21,272"
"19-Sep-2025","EQ","3,170.00","3,180.50","3,144.00","3,176.70","3,171.00","3,169.20","3,163.36","4,546.05","2,991.60","49,01,694","15,50,58,26,514.10","1,09,280"
"18-Sep-2025","EQ","3,185.00","3,203.00","3,161.40","3,172.80","3,177.00","3,176.70","3,179.00","4,546.05","2,991.60","26,33,138","8,37,07,38,058.40","1,47,801"
"17-Sep-2025","EQ","3,152.00","3,182.40","3,142.40","3,145.70","3,175.00","3,172.80","3,170.19","4,546.05","2,991.60","24,18,271","7,66,63,88,043.20","1,00,973"
"16-Sep-2025","EQ","3,128.00","3,150.00","3,109.10","3,111.90","3,147.90","3,145.70","3,132.70","4,546.05","2,991.60","25,73,429","8,06,17,82,019.30","96,675"
"15-Sep-2025","EQ","3,134.00","3,134.00","3,096.00","3,133.40","3,112.50","3,111.90","3,108.20","4,546.05","2,991.60","17,32,539","5,38,50,83,002.30","1,45,801"
